Set1;Set2
[1,3,3,3,3,5];[1,3,3,11]
[1,3,5,9];[1,3,7,7]
[1,5,5,7];[1,17]
[3,3,3,3,3,3];[3,3,3,9]
[3,3,5,7];[3,5,5,5]
[3,15];[5,13]
[7,11];[9,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,3,3,3];[1,1,1,1,1,1,1,1,1,1,9]
[1,1,1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,1,1,5,5]
[1,1,1,1,1,1,1,1,3,3,5];[1,1,1,1,1,1,1,1,11]
[1,1,1,1,1,1,1,3,3,3,3];[1,1,1,1,1,1,1,3,9]
[1,1,1,1,1,1,1,5,7];[1,1,1,1,1,1,3,3,7]
[1,1,1,1,1,1,3,5,5];[1,1,1,1,1,1,13]
[1,1,1,1,1,3,3,3,5];[1,1,1,1,1,3,11]
[1,1,1,1,1,5,9];[1,1,1,1,1,7,7]
[1,1,1,1,3,3,3,3,3];[1,1,1,1,3,3,9]
[1,1,1,1,3,5,7];[1,1,1,1,5,5,5]
[1,1,1,1,15];[1,1,1,3,3,3,7]
[1,1,1,3,3,5,5];[1,1,1,3,13]
[1,1,1,5,11];[1,1,1,7,9]
[1,1,3,3,3,3,5];[1,1,3,3,11]
[1,1,3,5,9];[1,1,3,7,7]
[1,1,5,5,7];[1,1,17]
[1,3,3,3,3,3,3];[1,3,3,3,9]
[1,3,3,5,7];[1,3,5,5,5]
[1,3,15];[1,5,13]
[1,7,11];[1,9,9]
[3,3,3,3,7];[3,3,3,5,5]
[3,3,13];[3,5,11]
[3,7,9];[5,5,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,9]
[1,1,1,1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,1,1,1,5,5]
[1,1,1,1,1,1,1,1,1,3,3,5];[1,1,1,1,1,1,1,1,1,11]
[1,1,1,1,1,1,1,1,3,3,3,3];[1,1,1,1,1,1,1,1,3,9]
[1,1,1,1,1,1,1,1,5,7];[1,1,1,1,1,1,1,3,3,7]
[1,1,1,1,1,1,1,3,5,5];[1,1,1,1,1,1,1,13]
[1,1,1,1,1,1,3,3,3,5];[1,1,1,1,1,1,3,11]
[1,1,1,1,1,1,5,9];[1,1,1,1,1,1,7,7]
[1,1,1,1,1,3,3,3,3,3];[1,1,1,1,1,3,3,9]
[1,1,1,1,1,3,5,7];[1,1,1,1,1,5,5,5]
[1,1,1,1,1,15];[1,1,1,1,3,3,3,7]
[1,1,1,1,3,3,5,5];[1,1,1,1,3,13]
[1,1,1,1,5,11];[1,1,1,1,7,9]
[1,1,1,3,3,3,3,5];[1,1,1,3,3,11]
[1,1,1,3,5,9];[1,1,1,3,7,7]
[1,1,1,5,5,7];[1,1,1,17]
[1,1,3,3,3,3,3,3];[1,1,3,3,3,9]
[1,1,3,3,5,7];[1,1,3,5,5,5]
[1,1,3,15];[1,1,5,13]
[1,1,7,11];[1,1,9,9]
[1,3,3,3,3,7];[1,3,3,3,5,5]
[1,3,3,13];[1,3,5,11]
[1,3,7,9];[1,5,5,9]
[1,5,7,7];[1,19]
[3,3,3,3,3,5];[3,3,3,11]
[3,3,5,9];[3,3,7,7]
[3,5,5,7];[3,17]
[5,5,5,5];[5,15]
[7,13];[9,11]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,9]
[1,1,1,1,1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,1,1,1,1,5,5]
[1,1,1,1,1,1,1,1,1,1,3,3,5];[1,1,1,1,1,1,1,1,1,1,11]
[1,1,1,1,1,1,1,1,1,3,3,3,3];[1,1,1,1,1,1,1,1,1,3,9]
[1,1,1,1,1,1,1,1,1,5,7];[1,1,1,1,1,1,1,1,3,3,7]
[1,1,1,1,1,1,1,1,3,5,5];[1,1,1,1,1,1,1,1,13]
[1,1,1,1,1,1,1,3,3,3,5];[1,1,1,1,1,1,1,3,11]
[1,1,1,1,1,1,1,5,9];[1,1,1,1,1,1,1,7,7]
[1,1,1,1,1,1,3,3,3,3,3];[1,1,1,1,1,1,3,3,9]
[1,1,1,1,1,1,3,5,7];[1,1,1,1,1,1,5,5,5]
[1,1,1,1,1,1,15];[1,1,1,1,1,3,3,3,7]
[1,1,1,1,1,3,3,5,5];[1,1,1,1,1,3,13]
[1,1,1,1,1,5,11];[1,1,1,1,1,7,9]
[1,1,1,1,3,3,3,3,5];[1,1,1,1,3,3,11]
