Set1;Set2
[1,1,1,1,3,5,9];[1,1,1,1,3,7,7]
[1,1,1,1,5,5,7];[1,1,1,1,17]
[1,1,1,3,3,3,3,3,3];[1,1,1,3,3,3,9]
[1,1,1,3,3,5,7];[1,1,1,3,5,5,5]
[1,1,1,3,15];[1,1,1,5,13]
[1,1,1,7,11];[1,1,1,9,9]
[1,1,3,3,3,3,7];[1,1,3,3,3,5,5]
[1,1,3,3,13];[1,1,3,5,11]
[1,1,3,7,9];[1,1,5,5,9]
[1,1,5,7,7];[1,1,19]
[1,3,3,3,3,3,5];[1,3,3,3,11]
[1,3,3,5,9];[1,3,3,7,7]
[1,3,5,5,7];[1,3,17]
[1,5,5,5,5];[1,5,15]
[1,7,13];[1,9,11]
[3,3,3,3,3,3,3];[3,3,3,3,9]
[3,3,3,5,7];[3,3,5,5,5]
[3,3,15];[3,5,13]
[3,7,11];[3,9,9]
[5,5,11];[5,7,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,9]
[1,1,1,1,1,1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,1,1,1,1,1,5,5]
[1,1,1,1,1,1,1,1,1,1,1,3,3,5];[1,1,1,1,1,1,1,1,1,1,1,11]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,3,9]
[1,1,1,1,1,1,1,1,1,1,5,7];[1,1,1,1,1,1,1,1,1,3,3,7]
[1,1,1,1,1,1,1,1,1,3,5,5];[1,1,1,1,1,1,1,1,1,13]
[1,1,1,1,1,1,1,1,3,3,3,5];[1,1,1,1,1,1,1,1,3,11]
[1,1,1,1,1,1,1,1,5,9];[1,1,1,1,1,1,1,1,7,7]
[1,1,1,1,1,1,1,3,3,3,3,3];[1,1,1,1,1,1,1,3,3,9]
[1,1,1,1,1,1,1,3,5,7];[1,1,1,1,1,1,1,5,5,5]
[1,1,1,1,1,1,1,15];[1,1,1,1,1,1,3,3,3,7]
[1,1,1,1,1,1,3,3,5,5];[1,1,1,1,1,1,3,13]
[1,1,1,1,1,1,5,11];[1,1,1,1,1,1,7,9]
[1,1,1,1,1,3,3,3,3,5];[1,1,1,1,1,3,3,11]
[1,1,1,1,1,3,5,9];[1,1,1,1,1,3,7,7]
[1,1,1,1,1,5,5,7];[1,1,1,1,1,17]
[1,1,1,1,3,3,3,3,3,3];[1,1,1,1,3,3,3,9]
[1,1,1,1,3,3,5,7];[1,1,1,1,3,5,5,5]
[1,1,1,1,3,15];[1,1,1,1,5,13]
[1,1,1,1,7,11];[1,1,1,1,9,9]
[1,1,1,3,3,3,3,7];[1,1,1,3,3,3,5,5]
[1,1,1,3,3,13];[1,1,1,3,5,11]
[1,1,1,3,7,9];[1,1,1,5,5,9]
[1,1,1,5,7,7];[1,1,1,19]
[1,1,3,3,3,3,3,5];[1,1,3,3,3,11]
[1,1,3,3,5,9];[1,1,3,3,7,7]
[1,1,3,5,5,7];[1,1,3,17]
[1,1,5,5,5,5];[1,1,5,15]
[1,1,7,13];[1,1,9,11]
[1,3,3,3,3,3,3,3];[1,3,3,3,3,9]
[1,3,3,3,5,7];[1,3,3,5,5,5]
[1,3,3,15];[1,3,5,13]
[1,3,7,11];[1,3,9,9]
[1,5,5,11];[1,5,7,9]
[1,7,7,7];[1,21]
[3,3,3,3,3,7];[3,3,3,3,5,5]
[3,3,3,13];[3,3,5,11]
[3,3,7,9];[3,5,5,9]
[3,5,7,7];[3,19]
[5,5,5,7];[5,17]
[7,15];[9,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,5];[1,1,1,1,1,1,1,1,1,1,1,1,11]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,3,9]
[1,1,1,1,1,1,1,1,1,1,1,5,7];[1,1,1,1,1,1,1,1,1,1,3,3,7]
[1,1,1,1,1,1,1,1,1,1,3,5,5];[1,1,1,1,1,1,1,1,1,1,13]
[1,1,1,1,1,1,1,1,1,3,3,3,5];[1,1,1,1,1,1,1,1,1,3,11]
[1,1,1,1,1,1,1,1,1,5,9];[1,1,1,1,1,1,1,1,1,7,7]
[1,1,1,1,1,1,1,1,3,3,3,3,3];[1,1,1,1,1,1,1,1,3,3,9]
[1,1,1,1,1,1,1,1,3,5,7];[1,1,1,1,1,1,1,1,5,5,5]
[1,1,1,1,1,1,1,1,15];[1,1,1,1,1,1,1,3,3,3,7]
[1,1,1,1,1,1,1,3,3,5,5];[1,1,1,1,1,1,1,3,13]
[1,1,1,1,1,1,1,5,11];[1,1,1,1,1,1,1,7,9]
[1,1,1,1,1,1,3,3,3,3,5];[1,1,1,1,1,1,3,3,11]
[1,1,1,1,1,1,3,5,9];[1,1,1,1,1,1,3,7,7]
[1,1,1,1,1,1,5,5,7];[1,1,1,1,1,1,17]
[1,1,1,1,1,3,3,3,3,3,3];[1,1,1,1,1,3,3,3,9]
[1,1,1,1,1,3,3,5,7];[1,1,1,1,1,3,5,5,5]
[1,1,1,1,1,3,15];[1,1,1,1,1,5,13]
[1,1,1,1,1,7,11];[1,1,1,1,1,9,9]
[1,1,1,1,3,3,3,3,7];[1,1,1,1,3,3,3,5,5]
[1,1,1,1,3,3,13];[1,1,1,1,3,5,11]
[1,1,1,1,3,7,9];[1,1,1,1,5,5,9]
[1,1,1,1,5,7,7];[1,1,1,1,19]
[1,1,1,3,3,3,3,3,5];[1,1,1,3,3,3,11]
[1,1,1,3,3,5,9];[1,1,1,3,3,7,7]
[1,1,1,3,5,5,7];[1,1,1,3,17]
[1,1,1,5,5,5,5];[1,1,1,5,15]
[1,1,1,7,13];[1,1,1,9,11]
[1,1,3,3,3,3,3,3,3];[1,1,3,3,3,3,9]
[1,1,3,3,3,5,7];[1,1,3,3,5,5,5]
[1,1,3,3,15];[1,1,3,5,13]
[1,1,3,7,11];[1,1,3,9,9]
[1,1,5,5,11];[1,1,5,7,9]
[1,1,7,7,7];[1,1,21]
[1,3,3,3,3,3,7];[1,3,3,3,3,5,5]
[1,3,3,3,13];[1,3,3,5,11]
[1,3,3,7,9];[1,3,5,5,9]
[1,3,5,7,7];[1,3,19]
[1,5,5,5,7];[1,5,17]
[1,7,15];[1,9,13]
[1,11,11];[3,3,3,3,3,3,5]
[3,3,3,3,11];[3,3,3,5,9]
[3,3,3,7,7];[3,3,5,5,7]
[3,3,17];[3,5,5,5,5]
[3,5,15];[3,7,13]
[3,9,11];[5,5,13]
[5,7,11];[5,9,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,11]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,3,9]
[1,1,1,1,1,1,1,1,1,1,1,1,5,7];[1,1,1,1,1,1,1,1,1,1,1,3,3,7]
[1,1,1,1,1,1,1,1,1,1,1,3,5,5];[1,1,1,1,1,1,1,1,1,1,1,13]
[1,1,1,1,1,1,1,1,1,1,3,3,3,5];[1,1,1,1,1,1,1,1,1,1,3,11]
[1,1,1,1,1,1,1,1,1,1,5,9];[1,1,1,1,1,1,1,1,1,1,7,7]
[1,1,1,1,1,1,1,1,1,3,3,3,3,3];[1,1,1,1,1,1,1,1,1,3,3,9]
[1,1,1,1,1,1,1,1,1,3,5,7];[1,1,1,1,1,1,1,1,1,5,5,5]
[1,1,1,1,1,1,1,1,1,15];[1,1,1,1,1,1,1,1,3,3,3,7]
[1,1,1,1,1,1,1,1,3,3,5,5];[1,1,1,1,1,1,1,1,3,13]
[1,1,1,1,1,1,1,1,5,11];[1,1,1,1,1,1,1,1,7,9]
[1,1,1,1,1,1,1,3,3,3,3,5];[1,1,1,1,1,1,1,3,3,11]
[1,1,1,1,1,1,1,3,5,9];[1,1,1,1,1,1,1,3,7,7]
[1,1,1,1,1,1,1,5,5,7];[1,1,1,1,1,1,1,17]
[1,1,1,1,1,1,3,3,3,3,3,3];[1,1,1,1,1,1,3,3,3,9]
[1,1,1,1,1,1,3,3,5,7];[1,1,1,1,1,1,3,5,5,5]
[1,1,1,1,1,1,3,15];[1,1,1,1,1,1,5,13]
[1,1,1,1,1,1,7,11];[1,1,1,1,1,1,9,9]
[1,1,1,1,1,3,3,3,3,7];[1,1,1,1,1,3,3,3,5,5]
[1,1,1,1,1,3,3,13];[1,1,1,1,1,3,5,11]
[1,1,1,1,1,3,7,9];[1,1,1,1,1,5,5,9]
[1,1,1,1,1,5,7,7];[1,1,1,1,1,19]
[1,1,1,1,3,3,3,3,3,5];[1,1,1,1,3,3,3,11]
[1,1,1,1,3,3,5,9];[1,1,1,1,3,3,7,7]
[1,1,1,1,3,5,5,7];[1,1,1,1,3,17]
[1,1,1,1,5,5,5,5];[1,1,1,1,5,15]
[1,1,1,1,7,13];[1,1,1,1,9,11]
[1,1,1,3,3,3,3,3,3,3];[1,1,1,3,3,3,3,9]
[1,1,1,3,3,3,5,7];[1,1,1,3,3,5,5,5]
[1,1,1,3,3,15];[1,1,1,3,5,13]
[1,1,1,3,7,11];[1,1,1,3,9,9]
[1,1,1,5,5,11];[1,1,1,5,7,9]
[1,1,1,7,7,7];[1,1,1,21]
[1,1,3,3,3,3,3,7];[1,1,3,3,3,3,5,5]
[1,1,3,3,3,13];[1,1,3,3,5,11]
[1,1,3,3,7,9];[1,1,3,5,5,9]
[1,1,3,5,7,7];[1,1,3,19]
[1,1,5,5,5,7];[1,1,5,17]
[1,1,7,15];[1,1,9,13]
[1,1,11,11];[1,3,3,3,3,3,3,5]
[1,3,3,3,3,11];[1,3,3,3,5,9]
[1,3,3,3,7,7];[1,3,3,5,5,7]
[1,3,3,17];[1,3,5,5,5,5]
[1,3,5,15];[1,3,7,13]
[1,3,9,11];[1,5,5,13]
[1,5,7,11];[1,5,9,9]
[1,7,7,9];[1,23]
[3,3,3,3,3,3,3,3];[3,3,3,3,3,9]
[3,3,3,3,5,7];[3,3,3,5,5,5]
[3,3,3,15];[3,3,5,13]
[3,3,7,11];[3,3,9,9]
[3,5,5,11];[3,5,7,9]
[3,7,7,7];[3,21]
[5,5,5,9];[5,5,7,7]
[5,19];[7,17]
[9,15];[11,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,11]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,5,7];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,7]
[1,1,1,1,1,1,1,1,1,1,1,1,3,5,5];[1,1,1,1,1,1,1,1,1,1,1,1,13]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,5];[1,1,1,1,1,1,1,1,1,1,1,3,11]
[1,1,1,1,1,1,1,1,1,1,1,5,9];[1,1,1,1,1,1,1,1,1,1,1,7,7]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3];[1,1,1,1,1,1,1,1,1,1,3,3,9]
[1,1,1,1,1,1,1,1,1,1,3,5,7];[1,1,1,1,1,1,1,1,1,1,5,5,5]
[1,1,1,1,1,1,1,1,1,1,15];[1,1,1,1,1,1,1,1,1,3,3,3,7]
[1,1,1,1,1,1,1,1,1,3,3,5,5];[1,1,1,1,1,1,1,1,1,3,13]
[1,1,1,1,1,1,1,1,1,5,11];[1,1,1,1,1,1,1,1,1,7,9]
[1,1,1,1,1,1,1,1,3,3,3,3,5];[1,1,1,1,1,1,1,1,3,3,11]
[1,1,1,1,1,1,1,1,3,5,9];[1,1,1,1,1,1,1,1,3,7,7]
[1,1,1,1,1,1,1,1,5,5,7];[1,1,1,1,1,1,1,1,17]
[1,1,1,1,1,1,1,3,3,3,3,3,3];[1,1,1,1,1,1,1,3,3,3,9]
[1,1,1,1,1,1,1,3,3,5,7];[1,1,1,1,1,1,1,3,5,5,5]
[1,1,1,1,1,1,1,3,15];[1,1,1,1,1,1,1,5,13]
[1,1,1,1,1,1,1,7,11];[1,1,1,1,1,1,1,9,9]
[1,1,1,1,1,1,3,3,3,3,7];[1,1,1,1,1,1,3,3,3,5,5]
[1,1,1,1,1,1,3,3,13];[1,1,1,1,1,1,3,5,11]
[1,1,1,1,1,1,3,7,9];[1,1,1,1,1,1,5,5,9]
[1,1,1,1,1,1,5,7,7];[1,1,1,1,1,1,19]
[1,1,1,1,1,3,3,3,3,3,5];[1,1,1,1,1,3,3,3,11]
[1,1,1,1,1,3,3,5,9];[1,1,1,1,1,3,3,7,7]
[1,1,1,1,1,3,5,5,7];[1,1,1,1,1,3,17]
[1,1,1,1,1,5,5,5,5];[1,1,1,1,1,5,15]
[1,1,1,1,1,7,13];[1,1,1,1,1,9,11]
[1,1,1,1,3,3,3,3,3,3,3];[1,1,1,1,3,3,3,3,9]
[1,1,1,1,3,3,3,5,7];[1,1,1,1,3,3,5,5,5]
